trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
90,0,90,0,5,192.02352259999316,192.02352259999316,192.02352259999316,[0.49074074074074076],[-0.38055555555555554],[1],[0],[0],[2.0983832999918377],['target'],2s,001,2023-09-28_16h59.37.918,visualsearch,2023.1.3,59.923262268514826,
91,0,91,0,5,194.20541850000154,194.20541850000154,194.20541850000154,[-0.027777777777777776],[-0.3972222222222222],[1],[0],[0],[1.6635841999959666],['target'],2s,001,2023-09-28_16h59.37.918,visualsearch,2023.1.3,59.923262268514826,
92,0,92,0,5,195.91060210000433,195.91060210000433,195.91060210000433,[0.17685185185185184],[0.46111111111111114],[1],[0],[0],[1.976968900009524],[],2s,001,2023-09-28_16h59.37.918,visualsearch,2023.1.3,59.923262268514826,
93,0,93,0,5,197.95850690000225,197.95850690000225,197.95850690000225,[0.2101851851851852],[-0.40370370370370373],[1],[0],[0],[1.9365836999932071],['target'],2s,001,2023-09-28_16h59.37.918,visualsearch,2023.1.3,59.923262268514826,
94,0,94,0,10,199.9856967999949,199.9856967999949,199.9856967999949,[-0.21481481481481482],[0.49537037037037035],[1],[0],[0],[3.2233183000062127],['target'],2s,001,2023-09-28_16h59.37.918,visualsearch,2023.1.3,59.923262268514826,
95,0,95,0,10,203.25679060000402,203.25679060000402,203.25679060000402,[-0.11388888888888889],[0.23055555555555557],[1],[0],[0],[2.0885511000087718],['target'],2s,001,2023-09-28_16h59.37.918,visualsearch,2023.1.3,59.923262268514826,
96,0,96,0,10,205.4337971999921,205.4337971999921,205.4337971999921,[0.4777777777777778],[-0.03518518518518519],[1],[0],[0],[1.8241452999936882],['target'],2s,001,2023-09-28_16h59.37.918,visualsearch,2023.1.3,59.923262268514826,
97,0,97,0,10,207.33930419999524,207.33930419999524,207.33930419999524,[-0.31851851851851853],[0.49166666666666664],[1],[0],[0],[3.1444378000014694],['target'],2s,001,2023-09-28_16h59.37.918,visualsearch,2023.1.3,59.923262268514826,
98,0,98,0,5,210.5319618999929,210.5319618999929,210.5319618999929,[-0.36018518518518516],[0.4962962962962963],[1],[0],[0],[1.7065545999939786],['target'],2s,001,2023-09-28_16h59.37.918,visualsearch,2023.1.3,59.923262268514826,
99,0,99,0,10,212.32501829999092,212.32501829999092,212.32501829999092,[0.48333333333333334],[0.25462962962962965],[1],[0],[0],[1.7715011999971466],['target'],2s,001,2023-09-28_16h59.37.918,visualsearch,2023.1.3,59.923262268514826,
100,0,100,0,10,214.26147359999595,214.26147359999595,214.26147359999595,[0.25833333333333336],[0.37777777777777777],[1],[0],[0],[1.2463371999911033],['target'],2s,001,2023-09-28_16h59.37.918,visualsearch,2023.1.3,59.923262268514826,
101,0,101,0,5,215.53655819999403,215.53655819999403,215.53655819999403,[0.21666666666666667],[0.18703703703703703],[1],[0],[0],[1.6512030999874696],['target'],2s,001,2023-09-28_16h59.37.918,visualsearch,2023.1.3,59.923262268514826,
102,0,102,0,10,217.30698660000053,217.30698660000053,217.30698660000053,[-0.22962962962962963],[-0.3685185185185185],[1],[0],[0],[2.9096174000005703],['target'],2s,001,2023-09-28_16h59.37.918,visualsearch,2023.1.3,59.923262268514826,
103,0,103,0,5,220.27052659999754,220.27052659999754,220.27052659999754,[0.3731481481481482],[0.4027777777777778],[1],[0],[0],[1.8662229000037769],['target'],2s,001,2023-09-28_16h59.37.918,visualsearch,2023.1.3,59.923262268514826,
104,0,104,0,10,222.21640239999397,222.21640239999397,222.21640239999397,[-0.022222222222222223],[0.12314814814814815],[1],[0],[0],[1.3891042999894125],['target'],2s,001,2023-09-28_16h59.37.918,visualsearch,2023.1.3,59.923262268514826,
105,0,105,0,5,223.68970639999316,223.68970639999316,223.68970639999316,[-0.3648148148148148],[0.31203703703703706],[1],[0],[0],[1.1600887999957195],['target'],2s,001,2023-09-28_16h59.37.918,visualsearch,2023.1.3,59.923262268514826,
106,0,106,0,10,224.9331508000032,224.9331508000032,224.9331508000032,[-0.08055555555555556],[-0.43703703703703706],[1],[0],[0],[2.303426300000865],['target'],2s,001,2023-09-28_16h59.37.918,visualsearch,2023.1.3,59.923262268514826,
107,0,107,0,5,227.2792480999924,227.2792480999924,227.2792480999924,[0.011111111111111112],[-0.32314814814814813],[1],[0],[0],[0.8783655000006547],['target'],2s,001,2023-09-28_16h59.37.918,visualsearch,2023.1.3,59.923262268514826,
108,0,108,0,5,228.1892491000035,228.1892491000035,228.1892491000035,[-0.3675925925925926],[0.01574074074074074],[1],[0],[0],[1.1428795000101672],['target'],2s,001,2023-09-28_16h59.37.918,visualsearch,2023.1.3,59.923262268514826,
109,0,109,0,5,229.39250839999295,229.39250839999295,229.39250839999295,[-0.3648148148148148],[0.10555555555555556],[1],[0],[0],[1.1003442000073846],['target'],2s,001,2023-09-28_16h59.37.918,visualsearch,2023.1.3,59.923262268514826,
110,0,110,0,5,230.54850789999182,230.54850789999182,230.54850789999182,[-0.02962962962962963],[-0.23981481481481481],[1],[0],[0],[1.5138139000046067],['target'],2s,001,2023-09-28_16h59.37.918,visualsearch,2023.1.3,59.923262268514826,
111,0,111,0,5,232.1119910999987,232.1119910999987,232.1119910999987,[0.014814814814814815],[-0.016666666666666666],[1],[0],[0],[2.2699014999961946],['target'],2s,001,2023-09-28_16h59.37.918,visualsearch,2023.1.3,59.923262268514826,
112,0,112,0,5,234.45595589998993,234.45595589998993,234.45595589998993,[-0.4462962962962963],[0.42592592592592593],[1],[0],[0],[2.055646100008744],['target'],2s,001,2023-09-28_16h59.37.918,visualsearch,2023.1.3,59.923262268514826,
113,0,113,0,5,236.5562387999962,236.5562387999962,236.5562387999962,[0.462037037037037],[0.02962962962962963],[1],[0],[0],[1.8968276999949012],['target'],2s,001,2023-09-28_16h59.37.918,visualsearch,2023.1.3,59.923262268514826,
114,0,114,0,5,238.5456692000007,238.5456692000007,238.5456692000007,[0.10833333333333334],[-0.21851851851851853],[1],[0],[0],[1.6756404000043403],['target'],2s,001,2023-09-28_16h59.37.918,visualsearch,2023.1.3,59.923262268514826,
115,0,115,0,10,240.30894609999086,240.30894609999086,240.30894609999086,[-0.04814814814814815],[-0.11851851851851852],[1],[0],[0],[0.9711488000029931],['target'],2s,001,2023-09-28_16h59.37.918,visualsearch,2023.1.3,59.923262268514826,
116,0,116,0,5,241.3364517000009,241.3364517000009,241.3364517000009,[0.325],[0.2351851851851852],[1],[0],[0],[1.5899842999933753],['target'],2s,001,2023-09-28_16h59.37.918,visualsearch,2023.1.3,59.923262268514826,
117,0,117,0,5,242.9724533999979,242.9724533999979,242.9724533999979,[0.04722222222222222],[0.22777777777777777],[1],[0],[0],[1.201444399994216],['target'],2s,001,2023-09-28_16h59.37.918,visualsearch,2023.1.3,59.923262268514826,
118,0,118,0,10,244.2750318000035,244.2750318000035,244.2750318000035,[-0.3962962962962963],[-0.46296296296296297],[1],[0],[0],[2.648312600009376],['target'],2s,001,2023-09-28_16h59.37.918,visualsearch,2023.1.3,59.923262268514826,
119,0,119,0,5,246.96590879998985,246.96590879998985,246.96590879998985,[-0.03981481481481482],[-0.24444444444444444],[1],[0],[0],[1.1388244999980088],['target'],2s,001,2023-09-28_16h59.37.918,visualsearch,2023.1.3,59.923262268514826,
120,0,120,0,5,248.17916369999875,248.17916369999875,248.17916369999875,[-0.1425925925925926],[0.23796296296296296],[1],[0],[0],[1.4364146000007167],['target'],2s,001,2023-09-28_16h59.37.918,visualsearch,2023.1.3,59.923262268514826,
121,0,121,0,10,249.70172349999484,249.70172349999484,249.70172349999484,[0.4666666666666667],[-0.3194444444444444],[1],[0],[0],[2.3117898000054993],['target'],2s,001,2023-09-28_16h59.37.918,visualsearch,2023.1.3,59.923262268514826,
122,0,122,0,10,252.07442189998983,252.07442189998983,252.07442189998983,[-0.12314814814814815],[-0.22777777777777777],[1],[0],[0],[2.448133700003382],['target'],2s,001,2023-09-28_16h59.37.918,visualsearch,2023.1.3,59.923262268514826,
