trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
25,0,25,0,10,71.9179950000107,71.9179950000107,71.9179950000107,[-0.17592592592592593],[-0.012037037037037037],[1],[0],[0],[1.802343599993037],['target'],4b,001,2023-09-28_18h29.18.466,visualsearch,2023.1.3,59.87704847000457,
26,0,26,0,10,73.75081530000898,73.75081530000898,73.75081530000898,[-0.48055555555555557],[0.4388888888888889],[1],[0],[0],[3.484429900010582],[],4b,001,2023-09-28_18h29.18.466,visualsearch,2023.1.3,59.87704847000457,
27,0,27,0,5,77.25217030000931,77.25217030000931,77.25217030000931,[-0.4351851851851852],[0.14444444444444443],[1],[0],[0],[1.478206699990551],['target'],4b,001,2023-09-28_18h29.18.466,visualsearch,2023.1.3,59.87704847000457,
28,0,28,0,10,78.76302330000908,78.76302330000908,78.76302330000908,[-0.11944444444444445],[0.03333333333333333],[1],[0],[0],[3.3031392999982927],[],4b,001,2023-09-28_18h29.18.466,visualsearch,2023.1.3,59.87704847000457,
29,0,29,0,10,82.10189830001036,82.10189830001036,82.10189830001036,[0.33425925925925926],[-0.3111111111111111],[1],[0],[0],[2.6368508000014117],['target'],4b,001,2023-09-28_18h29.18.466,visualsearch,2023.1.3,59.87704847000457,
30,0,30,0,10,84.8219805000117,84.8219805000117,84.8219805000117,[0.0712962962962963],[-0.26851851851851855],[1],[0],[0],[2.4783247000013944],['target'],4b,001,2023-09-28_18h29.18.466,visualsearch,2023.1.3,59.87704847000457,
31,0,31,0,5,87.34166820000974,87.34166820000974,87.34166820000974,[-0.2351851851851852],[0.01574074074074074],[1],[0],[0],[1.2811904000118375],['target'],4b,001,2023-09-28_18h29.18.466,visualsearch,2023.1.3,59.87704847000457,
32,0,32,0,5,88.65756630001124,88.65756630001124,88.65756630001124,[0.20555555555555555],[0.12129629629629629],[1],[0],[0],[1.3942078999971272],[],4b,001,2023-09-28_18h29.18.466,visualsearch,2023.1.3,59.87704847000457,
33,0,33,0,5,90.09020740000415,90.09020740000415,90.09020740000415,[0.07777777777777778],[-0.1824074074074074],[1],[0],[0],[1.0595707000029506],['target'],4b,001,2023-09-28_18h29.18.466,visualsearch,2023.1.3,59.87704847000457,
34,0,34,0,5,91.19148330000462,91.19148330000462,91.19148330000462,[-0.2759259259259259],[-0.4111111111111111],[1],[0],[0],[1.7643855000060285],[],4b,001,2023-09-28_18h29.18.466,visualsearch,2023.1.3,59.87704847000457,
35,0,35,0,10,93.04219480000029,93.04219480000029,93.04219480000029,[0.10648148148148148],[-0.08796296296296297],[1],[0],[0],[1.3195204999938142],['target'],4b,001,2023-09-28_18h29.18.466,visualsearch,2023.1.3,59.87704847000457,
36,0,36,0,10,94.42642390000401,94.42642390000401,94.42642390000401,[0.18888888888888888],[0.2],[1],[0],[0],[1.2375673000060488],['target'],4b,001,2023-09-28_18h29.18.466,visualsearch,2023.1.3,59.87704847000457,
37,0,37,0,5,95.69749540000339,95.69749540000339,95.69749540000339,[0.021296296296296296],[-0.3768518518518518],[1],[0],[0],[1.4952335999987554],[],4b,001,2023-09-28_18h29.18.466,visualsearch,2023.1.3,59.87704847000457,
38,0,38,0,10,97.27494230000593,97.27494230000593,97.27494230000593,[-0.4351851851851852],[-0.25555555555555554],[1],[0],[0],[2.3050719000020763],['target'],4b,001,2023-09-28_18h29.18.466,visualsearch,2023.1.3,59.87704847000457,
39,0,39,0,10,99.62951520000934,99.62951520000934,99.62951520000934,[-0.4962962962962963],[0.24444444444444444],[1],[0],[0],[12.526024299993878],['target'],4b,001,2023-09-28_18h29.18.466,visualsearch,2023.1.3,59.87704847000457,
40,0,40,0,10,112.24818010001036,112.24818010001036,112.24818010001036,[-0.4],[-0.3277777777777778],[1],[0],[0],[1.931998799991561],['target'],4b,001,2023-09-28_18h29.18.466,visualsearch,2023.1.3,59.87704847000457,
41,0,41,0,5,114.21465860000171,114.21465860000171,114.21465860000171,[-0.09259259259259259],[0.3509259259259259],[1],[0],[0],[1.5392260000080569],['target'],4b,001,2023-09-28_18h29.18.466,visualsearch,2023.1.3,59.87704847000457,
42,0,42,0,5,115.81093440001132,115.81093440001132,115.81093440001132,[-0.16018518518518518],[-0.45],[1],[0],[0],[1.7898824000003515],['target'],4b,001,2023-09-28_18h29.18.466,visualsearch,2023.1.3,59.87704847000457,
43,0,43,0,5,117.65860629999952,117.65860629999952,117.65860629999952,[0.4398148148148148],[0.10092592592592593],[1],[0],[0],[1.5626755999983288],['target'],4b,001,2023-09-28_18h29.18.466,visualsearch,2023.1.3,59.87704847000457,
44,0,44,0,10,119.3159333000076,119.3159333000076,119.3159333000076,[0.006481481481481481],[0.3537037037037037],[1],[0],[0],[1.5298690000054194],[],4b,001,2023-09-28_18h29.18.466,visualsearch,2023.1.3,59.87704847000457,
45,0,45,0,10,120.91083400000934,120.91083400000934,120.91083400000934,[0.02962962962962963],[-0.18425925925925926],[1],[0],[0],[1.8852955000038492],['target'],4b,001,2023-09-28_18h29.18.466,visualsearch,2023.1.3,59.87704847000457,
46,0,46,0,10,122.904755200012,122.904755200012,122.904755200012,[0.1361111111111111],[0.3453703703703704],[1],[0],[0],[1.8768931000086013],['target'],4b,001,2023-09-28_18h29.18.466,visualsearch,2023.1.3,59.87704847000457,
47,0,47,0,5,124.81149670000013,124.81149670000013,124.81149670000013,[-0.25462962962962965],[0.10555555555555556],[1],[0],[0],[1.7031743000115966],['target'],4b,001,2023-09-28_18h29.18.466,visualsearch,2023.1.3,59.87704847000457,
48,0,48,0,10,126.62511210000957,126.62511210000957,126.62511210000957,[0.36018518518518516],[-0.003703703703703704],[1],[0],[0],[3.708248700000695],['target'],4b,001,2023-09-28_18h29.18.466,visualsearch,2023.1.3,59.87704847000457,
49,0,49,0,10,130.42911780001305,130.42911780001305,130.42911780001305,[-0.4740740740740741],[0.4666666666666667],[1],[0],[0],[4.561089399998309],['target'],4b,001,2023-09-28_18h29.18.466,visualsearch,2023.1.3,59.87704847000457,
50,0,50,0,10,135.11208940000506,135.11208940000506,135.11208940000506,[0.1111111111111111],[-0.25092592592592594],[1],[0],[0],[1.627316999991308],['target'],4b,001,2023-09-28_18h29.18.466,visualsearch,2023.1.3,59.87704847000457,
51,0,51,0,5,136.76590290000604,136.76590290000604,136.76590290000604,[-0.42962962962962964],[0.47685185185185186],[1],[0],[0],[2.479104699988966],['target'],4b,001,2023-09-28_18h29.18.466,visualsearch,2023.1.3,59.87704847000457,
52,0,52,0,10,139.37277810000523,139.37277810000523,139.37277810000523,[-0.20277777777777778],[-0.3453703703703704],[1],[0],[0],[1.4699825999996392],['target'],4b,001,2023-09-28_18h29.18.466,visualsearch,2023.1.3,59.87704847000457,
53,0,53,0,5,140.8672387000115,140.8672387000115,140.8672387000115,[0.47314814814814815],[0.10925925925925926],[1],[0],[0],[1.188479999997071],['target'],4b,001,2023-09-28_18h29.18.466,visualsearch,2023.1.3,59.87704847000457,
54,0,54,0,5,142.10605300001043,142.10605300001043,142.10605300001043,[0.5064814814814815],[-0.125],[1],[0],[0],[1.1774079000024358],['target'],4b,001,2023-09-28_18h29.18.466,visualsearch,2023.1.3,59.87704847000457,
55,0,55,0,10,143.40872659999877,143.40872659999877,143.40872659999877,[0.36018518518518516],[0.20092592592592592],[1],[0],[0],[1.421282199997222],['target'],4b,001,2023-09-28_18h29.18.466,visualsearch,2023.1.3,59.87704847000457,
56,0,56,0,5,144.86539020000782,144.86539020000782,144.86539020000782,[0.06296296296296296],[0.009259259259259259],[1],[0],[0],[1.6412451999931363],['target'],4b,001,2023-09-28_18h29.18.466,visualsearch,2023.1.3,59.87704847000457,
57,0,57,0,10,146.59749980000197,146.59749980000197,146.59749980000197,[0.2953703703703704],[0.2712962962962963],[1],[0],[0],[1.6626586000056705],['target'],4b,001,2023-09-28_18h29.18.466,visualsearch,2023.1.3,59.87704847000457,
58,0,58,0,5,148.289073500011,148.289073500011,148.289073500011,[0.09351851851851851],[0.2722222222222222],[1],[0],[0],[1.3926916000054916],['target'],4b,001,2023-09-28_18h29.18.466,visualsearch,2023.1.3,59.87704847000457,
59,0,59,0,5,149.74065469999914,149.74065469999914,149.74065469999914,[0.21944444444444444],[0.4740740740740741],[1],[0],[0],[1.3293573000119068],['target'],4b,001,2023-09-28_18h29.18.466,visualsearch,2023.1.3,59.87704847000457,
60,0,60,0,5,151.1097249000013,151.1097249000013,151.1097249000013,[0.1787037037037037],[0.48148148148148145],[1],[0],[0],[2.9738209000061033],['target'],4b,001,2023-09-28_18h29.18.466,visualsearch,2023.1.3,59.87704847000457,
61,0,61,0,5,154.1265209000121,154.1265209000121,154.1265209000121,[-0.43148148148148147],[0.13703703703703704],[1],[0],[0],[1.4680347999965306],['target'],4b,001,2023-09-28_18h29.18.466,visualsearch,2023.1.3,59.87704847000457,
62,0,62,0,5,155.6521544999996,155.6521544999996,155.6521544999996,[-0.24074074074074073],[0.37222222222222223],[1],[0],[0],[1.2537888000078965],['target'],4b,001,2023-09-28_18h29.18.466,visualsearch,2023.1.3,59.87704847000457,
63,0,63,0,5,156.96008650001022,156.96008650001022,156.96008650001022,[-0.03518518518518519],[0.20092592592592592],[1],[0],[0],[1.7287691999954404],['target'],4b,001,2023-09-28_18h29.18.466,visualsearch,2023.1.3,59.87704847000457,
64,0,64,0,5,158.74690550001105,158.74690550001105,158.74690550001105,[0.22407407407407406],[0.4148148148148148],[1],[0],[0],[1.2383072999946307],['target'],4b,001,2023-09-28_18h29.18.466,visualsearch,2023.1.3,59.87704847000457,
65,0,65,0,5,160.02701770000567,160.02701770000567,160.02701770000567,[0.39351851851851855],[0.05185185185185185],[1],[0],[0],[1.563309900011518],['target'],4b,001,2023-09-28_18h29.18.466,visualsearch,2023.1.3,59.87704847000457,
66,0,66,0,5,161.65827090000676,161.65827090000676,161.65827090000676,[-0.41574074074074074],[0.10925925925925926],[1],[0],[0],[1.753006800005096],['target'],4b,001,2023-09-28_18h29.18.466,visualsearch,2023.1.3,59.87704847000457,
67,0,67,0,5,163.48666590001085,163.48666590001085,163.48666590001085,[0.39537037037037037],[-0.42592592592592593],[1],[0],[0],[1.7839431000029435],['target'],4b,001,2023-09-28_18h29.18.466,visualsearch,2023.1.3,59.87704847000457,
68,0,68,0,10,165.33717130000878,165.33717130000878,165.33717130000878,[-0.018518518518518517],[0.14074074074074075],[1],[0],[0],[1.8772639999951934],[],4b,001,2023-09-28_18h29.18.466,visualsearch,2023.1.3,59.87704847000457,
69,0,69,0,10,167.31503730000986,167.31503730000986,167.31503730000986,[0.5083333333333333],[0.33240740740740743],[1],[0],[0],[1.5989149999950314],['target'],4b,001,2023-09-28_18h29.18.466,visualsearch,2023.1.3,59.87704847000457,
70,0,70,0,5,168.96038670001144,168.96038670001144,168.96038670001144,[-0.33240740740740743],[-0.44351851851851853],[1],[0],[0],[2.8379835999949137],[],4b,001,2023-09-28_18h29.18.466,visualsearch,2023.1.3,59.87704847000457,
71,0,71,0,10,171.86540030001197,171.86540030001197,171.86540030001197,[-0.27870370370370373],[-0.42777777777777776],[1],[0],[0],[1.087812900004792],['target'],4b,001,2023-09-28_18h29.18.466,visualsearch,2023.1.3,59.87704847000457,
72,0,72,0,10,173.0229585000052,173.0229585000052,173.0229585000052,[-0.03425925925925926],[-0.1787037037037037],[1],[0],[0],[1.439647999999579],['target'],4b,001,2023-09-28_18h29.18.466,visualsearch,2023.1.3,59.87704847000457,
73,0,73,0,5,174.48671500000637,174.48671500000637,174.48671500000637,[-0.053703703703703705],[0.15833333333333333],[1],[0],[0],[1.9358164000004763],['target'],4b,001,2023-09-28_18h29.18.466,visualsearch,2023.1.3,59.87704847000457,
74,0,74,0,10,176.52239130000817,176.52239130000817,176.52239130000817,[-0.524074074074074],[0.3388888888888889],[1],[0],[0],[1.9445783999981359],[],4b,001,2023-09-28_18h29.18.466,visualsearch,2023.1.3,59.87704847000457,
75,0,75,0,10,178.5234793999989,178.5234793999989,178.5234793999989,[-0.20277777777777778],[0.3074074074074074],[1],[0],[0],[1.5644535000028554],['target'],4b,001,2023-09-28_18h29.18.466,visualsearch,2023.1.3,59.87704847000457,
76,0,76,0,10,180.15570840000873,180.15570840000873,180.15570840000873,[-0.2675925925925926],[0.4759259259259259],[1],[0],[0],[4.0177643000060925],['target'],4b,001,2023-09-28_18h29.18.466,visualsearch,2023.1.3,59.87704847000457,
77,0,77,0,10,184.2573437000101,184.2573437000101,184.2573437000101,[0.002777777777777778],[0.3333333333333333],[1],[0],[0],[1.4220016000035685],['target'],4b,001,2023-09-28_18h29.18.466,visualsearch,2023.1.3,59.87704847000457,
78,0,78,0,10,185.74196330000996,185.74196330000996,185.74196330000996,[0.13240740740740742],[0.412962962962963],[1],[0],[0],[1.484180400002515],['target'],4b,001,2023-09-28_18h29.18.466,visualsearch,2023.1.3,59.87704847000457,
79,0,79,0,10,187.27943330000562,187.27943330000562,187.27943330000562,[-0.2675925925925926],[-0.4083333333333333],[1],[0],[0],[2.249233099995763],[],4b,001,2023-09-28_18h29.18.466,visualsearch,2023.1.3,59.87704847000457,
80,0,80,0,10,189.59052880000672,189.59052880000672,189.59052880000672,[0.4601851851851852],[-0.07685185185185185],[1],[0],[0],[2.51681610000378],['target'],4b,001,2023-09-28_18h29.18.466,visualsearch,2023.1.3,59.87704847000457,
81,0,81,0,5,192.1371821000066,192.1371821000066,192.1371821000066,[-0.2972222222222222],[-0.2388888888888889],[1],[0],[0],[1.5493532000109553],['target'],4b,001,2023-09-28_18h29.18.466,visualsearch,2023.1.3,59.87704847000457,
82,0,82,0,5,193.76078290000441,193.76078290000441,193.76078290000441,[-0.4462962962962963],[0.11851851851851852],[1],[0],[0],[2.3643505000072764],['target'],4b,001,2023-09-28_18h29.18.466,visualsearch,2023.1.3,59.87704847000457,
83,0,83,0,10,196.24527440000384,196.24527440000384,196.24527440000384,[0.22037037037037038],[0.4],[1],[0],[0],[3.476096900005359],['target'],4b,001,2023-09-28_18h29.18.466,visualsearch,2023.1.3,59.87704847000457,
84,0,84,0,5,199.74172080001154,199.74172080001154,199.74172080001154,[-0.31666666666666665],[0.20277777777777778],[1],[0],[0],[1.5585810000047786],['target'],4b,001,2023-09-28_18h29.18.466,visualsearch,2023.1.3,59.87704847000457,
85,0,85,0,5,201.34021170000779,201.34021170000779,201.34021170000779,[0.29259259259259257],[0.3962962962962963],[1],[0],[0],[1.8762381999986246],['target'],4b,001,2023-09-28_18h29.18.466,visualsearch,2023.1.3,59.87704847000457,
86,0,86,0,5,203.3082454000105,203.3082454000105,203.3082454000105,[-0.2037037037037037],[-0.07592592592592592],[1],[0],[0],[1.6303372999973362],['target'],4b,001,2023-09-28_18h29.18.466,visualsearch,2023.1.3,59.87704847000457,
87,0,87,0,5,204.98082300000533,204.98082300000533,204.98082300000533,[0.36574074074074076],[0.20277777777777778],[1],[0],[0],[1.4955724000028567],['target'],4b,001,2023-09-28_18h29.18.466,visualsearch,2023.1.3,59.87704847000457,
88,0,88,0,10,206.55240820000472,206.55240820000472,206.55240820000472,[0.13333333333333333],[0.2611111111111111],[1],[0],[0],[1.4606547999865143],['target'],4b,001,2023-09-28_18h29.18.466,visualsearch,2023.1.3,59.87704847000457,
89,0,89,0,10,208.08937349999906,208.08937349999906,208.08937349999906,[0.23703703703703705],[-0.21666666666666667],[1],[0],[0],[2.2825245000130963],['target'],4b,001,2023-09-28_18h29.18.466,visualsearch,2023.1.3,59.87704847000457,
90,0,90,0,5,210.44672520000313,210.44672520000313,210.44672520000313,[0.18981481481481483],[0.2611111111111111],[1],[0],[0],[1.2722499999945285],['target'],4b,001,2023-09-28_18h29.18.466,visualsearch,2023.1.3,59.87704847000457,
91,0,91,0,5,211.817097200008,211.817097200008,211.817097200008,[0.1398148148148148],[-0.14907407407407408],[1],[0],[0],[1.4555246999952942],['target'],4b,001,2023-09-28_18h29.18.466,visualsearch,2023.1.3,59.87704847000457,
92,0,92,0,10,213.38811949999945,213.38811949999945,213.38811949999945,[0.14444444444444443],[0.03796296296296296],[1],[0],[0],[1.7063444000086747],['target'],4b,001,2023-09-28_18h29.18.466,visualsearch,2023.1.3,59.87704847000457,
